district,block,gram_panchayat,sample_villages,map_x,map_y,latitude,longitude
Dhamtari,Dhamtari,ACHHOTA,Achhota,,,,
Dhamtari,Dhamtari,AKLADONGRI,"Akladongari,Kohka",,,,
Dhamtari,Dhamtari,AMETHI,"Amethi, Kanidabri",,,,
Dhamtari,Dhamtari,AMLIDIH,Amlidih,,,,
Dhamtari,Dhamtari,Angara,Angara,,,,
Dhamtari,Dhamtari,ARJUNI,ARJUNI,,,,
Dhamtari,Dhamtari,AROUD (DU.),"Araud D,Kisanpuri, Patelguda,Pataud, Barbandha, Harfar, Siltara, Mongari, Urputi, Kandri, Kalarbahara, Pahariyakonha, Kokdi, Korlama, Khertha , Chanwar , Chapgaon, Themli ,Themsara, Dargahan , Palarao D , Batrel , Mudpar ,Lamkeni , Suplikonha D",,,,
Dhamtari,Dhamtari,AROUD (LI.),AROUD (LI.),,,,
Dhamtari,Dhamtari,BAGTARAI,BAGTARAI,,,,
Dhamtari,Dhamtari,BALIYARA,BALIYARA,,,,
Dhamtari,Dhamtari,Banjari,Banjari,,,,
Dhamtari,Dhamtari,BARARI,"Barari, Kotabharri",,,,
Dhamtari,Dhamtari,BARNA,BARNA,,,,
Dhamtari,Dhamtari,BENDRANAVAGAON,"Bendranawagaon,Nawagaonkhurd",,,,
Dhamtari,Dhamtari,BHANPURI,BHANPURI,,,,
Dhamtari,Dhamtari,BHANWARMARA,"Bhanwarmara, Bharari",,,,
Dhamtari,Dhamtari,BHATGAON,BHATGAON,,,,
Dhamtari,Dhamtari,Bhothali,Bhothali,,,,
Dhamtari,Dhamtari,Bhoyna,Bhoyna,,,,
Dhamtari,Dhamtari,Bijnapuri,"Bijnapuri, Sarsopuri",,,,
Dhamtari,Dhamtari,BIRETARA,Biretara,,,,
Dhamtari,Dhamtari,BODRA (PURI),"Bodra Puri, Gopalpuri",,,,
Dhamtari,Dhamtari,BODRA (S),Bodra S,,,,
Dhamtari,Dhamtari,BORIDKHURD,Boridkhurd,,,,
Dhamtari,Dhamtari,CHHATI,Chhati,,,,
Dhamtari,Dhamtari,CHIKHALI,"Chikhali, Mategahan",,,,
Dhamtari,Dhamtari,DAHI,Dahi,,,,
Dhamtari,Dhamtari,DARGAHAN,Dargahan,,,,
Dhamtari,Dhamtari,DARRI,Darri,,,,
Dhamtari,Dhamtari,DEMAR,Demar,,,,
Dhamtari,Dhamtari,DEVPUR,Devpur,,,,
Dhamtari,Dhamtari,DEVRI,"Deori, Bodachhapar",,,,
Dhamtari,Dhamtari,DHIMARTIKUR,Dhimartikur,,,,
Dhamtari,Dhamtari,DHOURABHATHA,"Dhaurabhatha, Rawanguda",,,,
Dhamtari,Dhamtari,DOMA,DOMA,,,,
Dhamtari,Dhamtari,DONAR,DONAR,,,,
Dhamtari,Dhamtari,DONDKI,Dodki,,,,
Dhamtari,Dhamtari,GAGRA,Gagara,,,,
Dhamtari,Dhamtari,GANGREL,"Gangrel, Maradev",,,,
Dhamtari,Dhamtari,GUJRA,Gujra,,,,
Dhamtari,Dhamtari,HANKARA,"Hankara, Kasahi",,,,
Dhamtari,Dhamtari,JAWARGAON,Janwargaon,,,,
